algo_name,hyperparameter_name,hyperparameter_value_exp,avg_reward
sample average $\epsilon$-greedy,epsilon,-7,2.7123582
sample average $\epsilon$-greedy,epsilon,-7,1.6357297
sample average $\epsilon$-greedy,epsilon,-7,8.656181
sample average $\epsilon$-greedy,epsilon,-7,3.7120838
sample average $\epsilon$-greedy,epsilon,-7,9.668996
sample average $\epsilon$-greedy,epsilon,-7,7.554336
sample average $\epsilon$-greedy,epsilon,-7,6.8449187
sample average $\epsilon$-greedy,epsilon,-7,2.102697
sample average $\epsilon$-greedy,epsilon,-7,7.5572605
sample average $\epsilon$-greedy,epsilon,-7,5.38129
sample average $\epsilon$-greedy,epsilon,-7,5.782917
sample average $\epsilon$-greedy,epsilon,-7,4.596669
sample average $\epsilon$-greedy,epsilon,-7,4.551687
sample average $\epsilon$-greedy,epsilon,-7,4.774852
sample average $\epsilon$-greedy,epsilon,-7,3.5620375
sample average $\epsilon$-greedy,epsilon,-7,1.4556688
sample average $\epsilon$-greedy,epsilon,-7,2.7329774
sample average $\epsilon$-greedy,epsilon,-7,8.825045
sample average $\epsilon$-greedy,epsilon,-7,2.9167175
sample average $\epsilon$-greedy,epsilon,-7,1.2820269
sample average $\epsilon$-greedy,epsilon,-7,4.023563
sample average $\epsilon$-greedy,epsilon,-7,5.8988357
sample average $\epsilon$-greedy,epsilon,-7,7.780565
sample average $\epsilon$-greedy,epsilon,-7,4.182565
sample average $\epsilon$-greedy,epsilon,-7,5.8587127
sample average $\epsilon$-greedy,epsilon,-7,5.980676
sample average $\epsilon$-greedy,epsilon,-7,2.0370271
sample average $\epsilon$-greedy,epsilon,-7,4.2182255
sample average $\epsilon$-greedy,epsilon,-7,13.047769
sample average $\epsilon$-greedy,epsilon,-7,7.372566
sample average $\epsilon$-greedy,epsilon,-7,8.789404
sample average $\epsilon$-greedy,epsilon,-7,10.148815
sample average $\epsilon$-greedy,epsilon,-7,7.8166637
sample average $\epsilon$-greedy,epsilon,-7,4.228041
sample average $\epsilon$-greedy,epsilon,-7,2.7762787
sample average $\epsilon$-greedy,epsilon,-7,6.670045
sample average $\epsilon$-greedy,epsilon,-7,2.3199885
sample average $\epsilon$-greedy,epsilon,-7,4.181363
sample average $\epsilon$-greedy,epsilon,-7,3.2627575
sample average $\epsilon$-greedy,epsilon,-7,9.40038
sample average $\epsilon$-greedy,epsilon,-7,3.7626061
sample average $\epsilon$-greedy,epsilon,-7,7.2763386
sample average $\epsilon$-greedy,epsilon,-7,5.050329
sample average $\epsilon$-greedy,epsilon,-7,5.0395355
sample average $\epsilon$-greedy,epsilon,-7,4.725191
sample average $\epsilon$-greedy,epsilon,-7,5.373118
sample average $\epsilon$-greedy,epsilon,-7,0.6041157
sample average $\epsilon$-greedy,epsilon,-7,3.5200956
sample average $\epsilon$-greedy,epsilon,-7,4.3010163
sample average $\epsilon$-greedy,epsilon,-7,11.496464
sample average $\epsilon$-greedy,epsilon,-7,3.6579912
sample average $\epsilon$-greedy,epsilon,-7,3.5764718
sample average $\epsilon$-greedy,epsilon,-7,7.2653413
sample average $\epsilon$-greedy,epsilon,-7,4.561511
sample average $\epsilon$-greedy,epsilon,-7,6.2217064
sample average $\epsilon$-greedy,epsilon,-7,9.228081
sample average $\epsilon$-greedy,epsilon,-7,8.285296
sample average $\epsilon$-greedy,epsilon,-7,6.1718907
sample average $\epsilon$-greedy,epsilon,-7,2.4855874
sample average $\epsilon$-greedy,epsilon,-7,2.1596785
sample average $\epsilon$-greedy,epsilon,-7,5.346445
sample average $\epsilon$-greedy,epsilon,-7,7.392765
sample average $\epsilon$-greedy,epsilon,-7,-1.3048198
sample average $\epsilon$-greedy,epsilon,-7,4.4782743
sample average $\epsilon$-greedy,epsilon,-7,0.66727614
sample average $\epsilon$-greedy,epsilon,-7,3.93094
sample average $\epsilon$-greedy,epsilon,-7,4.1975293
sample average $\epsilon$-greedy,epsilon,-7,6.726373
sample average $\epsilon$-greedy,epsilon,-7,6.344912
sample average $\epsilon$-greedy,epsilon,-7,6.543515
sample average $\epsilon$-greedy,epsilon,-7,0.27516446
sample average $\epsilon$-greedy,epsilon,-7,3.6284578
sample average $\epsilon$-greedy,epsilon,-7,6.13789
sample average $\epsilon$-greedy,epsilon,-7,3.2497938
sample average $\epsilon$-greedy,epsilon,-7,2.4687521
sample average $\epsilon$-greedy,epsilon,-7,2.4975507
sample average $\epsilon$-greedy,epsilon,-7,4.8373337
sample average $\epsilon$-greedy,epsilon,-7,2.9278932
sample average $\epsilon$-greedy,epsilon,-7,1.9992611
sample average $\epsilon$-greedy,epsilon,-7,1.300673
sample average $\epsilon$-greedy,epsilon,-7,1.6011109
sample average $\epsilon$-greedy,epsilon,-7,8.98684
sample average $\epsilon$-greedy,epsilon,-7,1.5116816
sample average $\epsilon$-greedy,epsilon,-7,10.459876
